Epoch,Train_Loss,all_case_1_AUROC,all_case_2_AUROC
4,8.48545,0.961086,0.87382
8,6.51388,0.965856,0.9141
12,5.71635,0.966248,0.927301
16,5.20871,0.966701,0.931015
20,4.92854,0.967516,0.936022
24,4.75832,0.970897,0.940067
28,4.55292,0.974429,0.944997
32,4.44555,0.975758,0.945966
36,4.35055,0.975788,0.942949
40,4.24523,0.974882,0.939693
44,3.96416,0.97926,0.945099
48,3.79514,0.978928,0.945091
52,3.70435,0.975999,0.945159
56,3.54755,0.978324,0.943
60,3.51247,0.975758,0.945966
64,3.49996,0.97769,0.945915
68,3.43990,0.974429,0.944997
72,3.41996,0.97612,0.942745
76,3.73057,0.980769,0.943153
80,3.35779,0.977479,0.944623
84,3.37036,0.975758,0.942685
88,3.33866,0.977146,0.943272
92,3.27193,0.973554,0.945507
96,3.34139,0.976754,0.944028
100,3.30640,0.97763,0.94719
104,3.25049,0.975999,0.945159
108,3.51569,0.978173,0.943374
112,3.46473,0.977297,0.945524
116,3.41996,0.97769,0.942745
120,3.43990,0.974429,0.944997
124,3.44779,0.978324,0.944241
128,3.43476,0.977056,0.946
132,3.37625,0.974339,0.943977
136,3.39620,0.977026,0.945142
140,3.37712,0.977841,0.945864
144,3.35779,0.977479,0.944623
148,3.37036,0.976512,0.948729
152,3.27193,0.973071,0.945252
156,3.37036,0.975758,0.942685
160,3.33866,0.977146,0.943272
164,3.35966,0.976935,0.946196
168,3.34139,0.976754,0.944028
172,3.30640,0.97763,0.94719
176,3.29510,0.974641,0.945864
180,3.31006,0.977509,0.946536
184,3.29926,0.977237,0.942719
188,3.29669,0.976512,0.948729
192,3.25031,0.974067,0.94549
196,3.26302,0.973071,0.945252
200,3.27193,0.973554,0.945507
204,3.25049,0.975999,0.945159
208,3.23483,0.973041,0.946366
212,3.24580,0.972286,0.947012
216,3.25418,0.974943,0.946867
220,3.22757,0.975395,0.945822
224,3.23752,0.97295,0.947343
228,3.22835,0.975063,0.946493
232,3.22844,0.97455,0.948006
236,3.22837,0.975546,0.946527
240,3.22008,0.973675,0.945754
244,3.21545,0.974248,0.946663
248,3.22569,0.972829,0.946451
