Epoch,Train_Loss,all_case_1_AUROC,all_case_2_AUROC
9,9.88675,0.975428,0.975428
18,9.71956,0.976209,0.976209
27,9.58583,0.9759,0.9759
36,9.45596,0.97655,0.97655
45,9.31083,0.977253,0.977253
54,9.18447,0.977563,0.977563
63,9.05681,0.977776,0.977776
72,8.94662,0.977655,0.977655
81,8.79152,0.976550,0.976550
90,8.61727,0.977153,0.977153
99,8.19839,0.972704,0.972704
108,7.23562,0.970365,0.970365
117,6.57340,0.971454,0.971454
126,5.96632,0.970096,0.970096
135,5.38268,0.969667,0.969667
144,5.09210,0.969281,0.969281
153,4.75832,0.970039,0.970039
162,4.35779,0.970550,0.970550
171,3.85267,0.969667,0.969667
180,3.73057,0.969281,0.969281
189,3.62842,0.970039,0.970039
198,3.37625,0.970539,0.970539
207,3.30640,0.972704,0.972704
216,3.25418,0.969667,0.969667
225,3.22835,0.970039,0.970039
234,3.22837,0.969281,0.969281
243,3.22008,0.969667,0.969667
250,3.09045,0.969640,0.969640
