Epoch,Train_Loss,all_case_1_AUROC,all_case_2_AUROC
10,20.66601,0.65791,0.542412
20,18.98788,0.654799,0.57696
30,17.99152,0.667767,0.58056
40,16.49167,0.660148,0.599712
50,15.22326,0.661243,0.60502
60,14.48316,0.651228,0.606148
70,13.85446,0.654037,0.609764
80,12.26400,0.639577,0.590344
90,10.29923,0.634641,0.588572
100,7.88898,0.638069,0.576708
110,7.13109,0.641085,0.572
120,6.40320,0.634355,0.571396
130,5.38502,0.633625,0.573656
140,4.98406,0.631657,0.572344
150,4.57537,0.632196,0.571932
160,4.33352,0.632196,0.571932
170,4.07478,0.629784,0.573012
180,3.85483,0.631053,0.571756
190,3.76189,0.631387,0.571488
200,3.33189,0.632704,0.572564
210,3.32486,0.632958,0.572424
220,3.25023,0.631815,0.573224
230,3.32486,0.632958,0.572424
240,3.25023,0.631815,0.573224
250,3.25023,0.631815,0.573224
