Epoch,Train_Loss,all_case_1_AUROC,all_case_2_AUROC
4,0.00658,0.78976,0.614769
8,0.00570,0.526235,0.64406
12,0.00540,0.887665,0.633554
16,0.00481,0.885793,0.737303
20,0.00433,0.932738,0.823084
24,0.00401,0.944813,0.864818
28,0.00376,0.934821,0.883586
32,0.00356,0.943968,0.893463
36,0.00339,0.949463,0.897322
40,0.00325,0.948285,0.903544
44,0.00313,0.937508,0.905295
48,0.00300,0.943998,0.905762
52,0.00289,0.923952,0.906791
56,0.00280,0.927002,0.906544
60,0.00272,0.926036,0.908678
64,0.00265,0.927334,0.907938
68,0.00259,0.917341,0.909876
72,0.00253,0.916496,0.909196
76,0.00249,0.908888,0.911448
80,0.00245,0.903242,0.912213
84,0.00241,0.903846,0.913939
88,0.00238,0.909039,0.913038
92,0.00234,0.899378,0.912876
96,0.00230,0.894216,0.913097
100,0.00228,0.886034,0.913607
104,0.00226,0.892767,0.913599
108,0.00224,0.897718,0.912902
112,0.00222,0.894699,0.913488
116,0.00221,0.893280,0.912749
120,0.00219,0.894729,0.913114
124,0.00217,0.889989,0.913488
128,0.00215,0.885219,0.914228
132,0.00214,0.885672,0.913539
136,0.00214,0.885219,0.914228
140,0.00213,0.886789,0.912970
144,0.00212,0.882985,0.913429
148,0.00211,0.885672,0.913539
152,0.00210,0.884646,0.913556
156,0.00209,0.876525,0.913667
160,0.00209,0.876977,0.913055
164,0.00207,0.881325,0.913905
168,0.00206,0.871392,0.913514
172,0.00205,0.873445,0.914338
176,0.00204,0.868585,0.913803
180,0.00203,0.864177,0.913947
184,0.00203,0.853731,0.914100
188,0.00201,0.871604,0.914406
192,0.00200,0.874804,0.913301
196,0.00199,0.866985,0.913250
200,0.00198,0.861852,0.913148
204,0.00197,0.860252,0.913726
208,0.00197,0.86623,0.913845
212,0.00196,0.864841,0.913684
216,0.00196,0.86143,0.913616
220,0.00195,0.861792,0.913803
224,0.00195,0.861611,0.913990
228,0.00194,0.862154,0.913556
232,0.00194,0.858199,0.913811
236,0.00193,0.860554,0.913692
240,0.00193,0.86312,0.913599
244,0.00192,0.858713,0.914177
248,0.00192,0.857445,0.913913
