Epoch,Train_Loss,all_case_1_AUROC,all_case_2_AUROC
5,21.68788,0.931122,0.6638
10,18.89207,0.826531,0.810266
15,17.20948,0.815051,0.860521
20,16.27603,0.818878,0.871002
25,15.68668,0.82398,0.869659
30,15.36360,0.830357,0.869927
35,15.06038,0.844388,0.878527
40,14.72263,0.835459,0.919645
45,14.30833,0.834184,0.960763
50,13.98849,0.845663,0.971513
55,13.71130,0.82398,0.98065
60,13.52290,0.795918,0.984682
65,13.31948,0.788265,0.987638
70,12.96613,0.795918,0.990325
75,12.74340,0.797194,0.9914
80,12.57871,0.797194,0.992744
85,12.40253,0.788265,0.992744
90,12.25791,0.80102,0.992206
95,12.10474,0.807398,0.993013
100,11.94719,0.797194,0.991669
105,11.83899,0.788265,0.991131
110,11.74834,0.783163,0.990863
115,11.62476,0.790816,0.990863
120,11.51927,0.803571,0.990594
125,11.42006,0.804847,0.989788
130,11.36192,0.789541,0.990056
135,11.23957,0.788265,0.989519
140,11.14688,0.781888,0.988713
145,11.03438,0.811224,0.988444
150,10.98569,0.792092,0.988175
155,10.91971,0.779337,0.988444
160,10.86662,0.769133,0.988444
165,10.79733,0.778061,0.988175
170,10.72328,0.781888,0.988713
175,10.71858,0.772959,0.988175
180,10.67198,0.788265,0.988444
185,10.62079,0.77551,0.987906
190,10.62913,0.742347,0.988444
195,10.57002,0.776786,0.988713
200,10.51279,0.789541,0.988713
205,10.51622,0.770408,0.988713
210,10.51640,0.760204,0.988981
215,10.51120,0.739796,0.988175
220,10.43643,0.792092,0.988444
225,10.46173,0.757653,0.988713
230,10.46066,0.75,0.988713
235,10.42937,0.770408,0.988175
240,10.41481,0.770408,0.988175
245,10.41615,0.757653,0.988175
250,10.38705,0.772959,0.988713
