Epoch,Train_Loss,all_case_1_AUROC,all_case_2_AUROC
3,314.6182,0.9918,0.6520
6,247.7355,0.9689,0.7038
9,199.0881,0.9914,0.7429
12,160.6524,0.9956,0.7844
15,128.7987,0.9571,0.8034
18,101.8442,0.9915,0.8349
21,84.4994,0.9795,0.8385
24,70.2155,0.9698,0.8473
27,57.8286,0.9436,0.8523
30,47.2461,0.8917,0.8529
33,38.2064,0.9563,0.8598
36,30.8501,0.9075,0.8635
39,24.8763,0.9048,0.8593
42,20.0721,0.9784,0.8739
45,17.0320,0.9815,0.8779
48,15.0931,0.9723,0.8814
51,13.8748,0.9952,0.8823
54,13.4586,0.9763,0.8859
57,13.1703,0.9842,0.8798
60,13.0149,0.9869,0.8834
63,12.8918,0.9947,0.8824
66,12.7899,0.9867,0.8858
69,12.8015,0.9944,0.8853
72,12.7774,0.9953,0.8868
75,12.8015,0.9878,0.8787
78,12.7555,0.9888,0.8830
81,12.7289,0.9780,0.8823
84,12.7513,0.9780,0.8814
87,12.7735,0.9838,0.8829
90,12.7506,0.9947,0.8835
93,12.7741,0.9913,0.8835
96,12.7530,0.9950,0.8859
99,12.7998,0.9950,0.8851
102,12.7930,0.9902,0.8820
105,12.7871,0.9944,0.8840
108,12.7859,0.9934,0.8831
111,12.7632,0.9865,0.8825
114,12.7502,0.9778,0.8831
117,12.7410,0.9948,0.8844
120,12.7756,0.9918,0.8853
123,12.7811,0.9750,0.8816
126,12.8000,0.9768,0.8849
129,12.7978,0.9929,0.8854
132,12.7777,0.9853,0.8820
135,12.7767,0.9925,0.8826
138,12.7317,0.9770,0.8845
141,12.7579,0.9938,0.8841
144,12.7878,0.9948,0.8847
147,12.7771,0.9852,0.8844
150,12.7430,0.9851,0.8833
153,12.7752,0.9912,0.8810
156,12.7792,0.9819,0.8857
159,12.7892,0.9951,0.8800
162,12.8058,0.9888,0.8836
165,12.8002,0.9899,0.8867
168,12.8049,0.9856,0.8862
171,12.7922,0.9913,0.8863
174,12.7880,0.9886,0.8833
177,12.7388,0.9944,0.8838
180,12.7708,0.9863,0.8851
183,12.7975,0.9963,0.8874
186,12.7875,0.9878,0.8833
189,12.7843,0.9954,0.8848
192,12.7550,0.9795,0.8830
195,12.7778,0.9961,0.8872
198,12.7651,0.9938,0.8831
201,12.7636,0.9724,0.8845
204,12.7352,0.9837,0.8861
207,12.8033,0.9952,0.8839
210,12.7725,0.9899,0.8808
213,12.7639,0.9885,0.8855
216,12.7450,0.9952,0.8850
219,12.7752,0.9925,0.8873
222,12.8267,0.9955,0.8773
225,12.7623,0.9885,0.8789
228,12.7698,0.9826,0.8856
231,12.7613,0.9919,0.8897
234,12.7882,0.9919,0.8831
237,12.7740,0.9847,0.8812
240,12.7496,0.9808,0.8809
243,12.7625,0.9952,0.8831
246,12.7767,0.9934,0.8833
249,12.7879,0.9959,0.8853
